survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,female,19.0,0,0,26.0,First,unknown,Southampton,y
1,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,19.0,0,0,0.0,Third,unknown,Southampton,y
1,female,28.0,0,0,221.7792,First,B,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
0,male,28.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
1,female,28.0,0,0,151.55,First,B,Southampton,y
0,male,47.0,0,0,7.25,Third,unknown,Southampton,y
0,male,16.0,0,0,9.2167,Third,unknown,Southampton,y
1,female,30.0,0,0,12.35,Second,unknown,Queenstown,y
0,male,28.0,0,0,24.15,Third,unknown,Southampton,y
1,male,32.0,0,0,10.5,Second,unknown,Southampton,y
0,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
0,male,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,20.0,0,0,7.925,Third,unknown,Southampton,y
0,male,17.0,0,0,8.6625,Third,unknown,Southampton,y
1,female,23.0,1,0,13.7917,Second,unknown,Cherbourg,n
0,male,30.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,22.0,0,0,7.225,Third,unknown,Cherbourg,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
1,male,18.0,0,0,10.5,Second,unknown,Southampton,y
0,male,28.0,0,0,8.4583,Third,unknown,Queenstown,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,28.0,0,0,7.65,Third,unknown,Southampton,y
0,male,34.0,1,0,21.0,Second,unknown,Southampton,n
1,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
0,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
0,male,29.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,8.4583,Third,unknown,Queenstown,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
1,female,3.0,1,2,26.0,Second,unknown,Southampton,n
0,male,28.0,0,0,7.775,Third,unknown,Southampton,y
0,male,19.0,0,0,7.775,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Southampton,y
0,male,44.0,0,0,7.925,Third,unknown,Southampton,y
1,female,28.0,0,0,7.7333,Third,unknown,Queenstown,y
0,male,28.0,0,0,8.6625,Third,unknown,Southampton,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
1,female,28.0,0,0,21.075,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,27.0,1,0,13.8583,Second,unknown,Cherbourg,n
0,male,28.0,0,0,7.225,Third,unknown,Cherbourg,y
0,male,28.0,0,0,8.6625,Third,unknown,Southampton,y
0,male,18.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,28.0,0,0,7.5208,Third,unknown,Southampton,y
1,female,22.0,0,1,66.6,Second,unknown,Southampton,n
0,male,28.0,0,0,9.35,Third,unknown,Southampton,y
1,female,28.0,0,2,23.45,Third,unknown,Southampton,n
1,male,28.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,35.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
0,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
0,male,28.0,0,0,24.15,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,28.0,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8542,Third,unknown,Southampton,y
1,female,28.0,0,0,7.65,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,2.0,0,2,26.0,Second,unknown,Southampton,n
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,14.5,Third,unknown,Southampton,y
1,female,28.0,0,0,7.3125,Third,unknown,Southampton,y
1,male,38.0,0,0,0.0,First,unknown,Southampton,y
0,male,29.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,52.0,0,0,13.0,Second,unknown,Southampton,y
0,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
1,female,28.0,1,0,26.0,Second,unknown,Southampton,n
0,male,30.0,0,0,16.1,Third,unknown,Southampton,y
0,male,28.0,0,0,7.925,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,34.0,0,0,13.0,Second,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.75,Third,unknown,Queenstown,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.925,Third,unknown,Southampton,y
1,female,28.0,0,0,7.65,Third,unknown,Southampton,y
0,male,25.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
1,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
0,male,33.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.7333,Third,unknown,Queenstown,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,40.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.7958,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
